variable,level,std,mean
Q,1000,0.005298979580402374,0.008892141282558441
Q,850,0.00355346268042922,0.005494256969541311
Q,700,0.002246471121907234,0.002808075165376067
Q,500,0.0009601717465557158,0.0009234496392309666
Q,300,0.00012062460882589221,0.0001136253631557338
Q,200,1.1578482371987775e-05,1.4708431081089657e-05
Q,50,4.5225277744975756e-07,2.6807524591276888e-06
Q,10,2.998268087139877e-07,3.2043637929746183e-06
U,1000,6.084696292877197,-0.38709378242492676
U,850,8.137951850891113,1.0898622274398804
U,700,9.16089153289795,3.211690664291382
U,500,12.006978034973145,6.641634941101074
U,300,17.34486961364746,12.604412078857422
U,200,18.815959930419922,15.597490310668945
U,50,14.99779987335205,3.454397678375244
U,10,25.203706741333008,0.8362873792648315
V,1000,5.064915657043457,0.19234897196292877
V,850,5.786660671234131,0.09149473160505295
V,700,6.313559055328369,-0.014181074686348438
V,500,8.439122200012207,-0.03303511440753937
V,300,12.576620101928711,-0.02654298022389412
V,200,11.996382713317871,-0.08541375398635864
V,50,5.628607749938965,0.0024587044026702642
V,10,8.38313102722168,-0.0025418419390916824
T,1000,13.384634017944336,288.35784912109375
T,850,12.338329315185547,281.1327209472656
T,700,11.475517272949219,273.661376953125
T,500,10.93696403503418,258.4976501464844
T,300,9.404952049255371,233.303466796875
T,200,5.343658447265625,218.53477478027344
T,50,7.5124897956848145,211.45948791503906
T,10,9.178779602050781,228.6478729248047
Z,1000,902.9893798828125,935.64794921875
Z,850,1210.0975341796875,14249.421875
Z,700,1750.7392578125,29768.400390625
Z,500,2742.215087890625,55511.6015625
Z,300,4225.75732421875,91579.203125
Z,200,4850.40185546875,117795.390625
Z,50,3923.8837890625,200931.5
Z,10,6538.03173828125,302655.46875
tcwv,-1,16.692602157592773,24.224584579467773
cllvi,-1,0.14847485721111298,0.05499429255723953
clivi,-1,0.02724744752049446,0.01109028048813343
tas,-1,15.605487823486328,286.0905456542969
uas,-1,5.174601078033447,-0.15406793355941772
vas,-1,4.648515224456787,-0.38197827339172363
rlut,-1,41.99623489379883,243.5808563232422
rsut,-1,128.31866455078125,88.92689514160156
pres_msl,-1,1109.4359130859375,101160.1953125
pr,-1,0.00010940144420601428,1.7416477930964902e-05
rsds,-1,304.65899658203125,213.8172607421875
sst,-1,8.51423454284668,290.97320556640625
sic,-1,0.1454102247953415,0.025404179468750954
